raw.material,cycle,ID,end.n,end.min,end.max,end.mean,end.median,end.sd,start.n,start.min,start.max,start.mean,start.median,start.sd
flint,0-125,FLT10-2,224,0.200000003,0.534964337,0.3674821702366071,0.36748217,0.0973460535842821,224,0.201502085,0.53646642,0.36898425245535715,0.3689842525,0.0973460535866693
flint,0-125,FLT10-5,256,0.200000003,0.323317087,0.261658544796875,0.26165854499999996,0.035807911078109156,256,0.200483599,0.323800683,0.262142141203125,0.262142141,0.035807911078109156
flint,0-125,FLT10-6,132,0.200000003,0.463737106,0.33186855456060604,0.33186855449999997,0.0770055627463854,132,0.202013263,0.465750366,0.33388181488636365,0.333881815,0.07700556274049793
flint,125-250,FLT10-2,184,0.200000003,0.536769828,0.3683849157282609,0.368384916,0.09801357604914678,184,0.201840275,0.538610101,0.370225188,0.37022518800000004,0.09801357605171176
flint,125-250,FLT10-5,256,0.200000003,0.468176624,0.33408831369921876,0.3340883135,0.07787116211837931,256,0.201051676,0.469228297,0.33513998672265627,0.3351399865,0.07787116211551937
flint,125-250,FLT10-6,256,0.200000003,0.361636427,0.28081821513671873,0.280818215,0.046934800389335014,256,0.200633871,0.362270296,0.28145208346875,0.28145208349999995,0.0469348003920096
flint,250-500,FLT10-2,48,0.200000003,0.532717262,0.366358632375,0.3663586325,0.09910726858662615,48,0.207079094,0.539796352,0.37343772297916666,0.373437723,0.0991072685737082
flint,250-500,FLT10-5,256,0.200000003,0.282245536,0.24112276947265626,0.2411227695,0.023881855073148998,256,0.200322534,0.282568067,0.24144530097265626,0.241445301,0.023881855070130163
flint,250-500,FLT10-6,256,0.200000003,0.379336174,0.2896680886875,0.2896680885,0.05207432326836476,256,0.200703282,0.380039454,0.29037136779296874,0.2903713675,0.05207432327188673
flint,0-500,FLT10-2,256,0.200000003,0.404042419,0.302021210984375,0.302021211,0.05924834154060841,256,0.200800169,0.404842585,0.3028213773203125,0.302821377,0.059248341538542894
flint,0-500,FLT10-5,256,0.100000001,0.137676635,0.11883831819921875,0.118838318,0.010940264672187696,256,0.100147753,0.137824386,0.118986069703125,0.1189860695,0.010940264666070591
flint,0-500,FLT10-6,176,0.200000003,0.500096429,0.3500482161022727,0.350048216,0.08737257173238222,176,0.20171484,0.501811266,0.3517630528238636,0.3517630525,0.0873725717331112
obsidian,0-125,OBS4-4,256,0.200000003,0.60918121,0.40459060637109373,0.40459060599999996,0.11881504031893245,256,0.201604635,0.610785842,0.4061952385546875,0.4061952385,0.11881504031943559
obsidian,0-125,OBS4-5,200,0.200000003,0.674027732,0.437013867535,0.43701386750000004,0.1378710472193982,200,0.202382052,0.676409781,0.439395916425,0.4393959165,0.13787104721974547
obsidian,0-125,OBS4-6,256,0.200000003,1.156032785,0.678016393828125,0.678016394,0.27760579328398777,256,0.203749151,1.159781933,0.6817655419921875,0.681765542,0.2776057932852059
