ID,rawmaterial,Date,Time,Measurment,HLC
QTZ3-6,quartzite,09/06/2021,14:27:34,M1,876
QTZ3-5,quartzite,09/06/2021,14:22:10,M1,919
QTZ3-4,quartzite,09/06/2021,14:18:29,M1,913
QTZ3-3,quartzite,09/06/2021,14:15:35,M1,822
QTZ3-2,quartzite,09/06/2021,14:12:22,M1,863
QTZ3-1,quartzite,09/06/2021,14:05:18,M1,910
OBS4-6,obsidian,09/06/2021,13:59:22,M1,927
OBS4-5,obsidian,09/06/2021,13:51:50,M1,969
OBS4-4,obsidian,09/06/2021,13:48:41,M1,966
OBS4-3,obsidian,09/06/2021,13:43:07,M1,957
OBS4-2,obsidian,09/06/2021,13:38:59,M1,940
OBS4-1,obsidian,09/06/2021,13:33:40,M1,949
FLT10-6,flint,09/06/2021,12:22:13,M1,954
FLT10-5,flint,09/06/2021,12:18:19,M1,963
FLT10-4,flint,09/06/2021,12:12:51,M1,963
FLT10-3,flint,09/06/2021,12:06:44,M1,965
FLT10-2,flint,09/06/2021,12:00:33,M1,968
DAC3-7,dacite,09/06/2021,15:03:51,M1,966
DAC3-5,dacite,09/06/2021,14:55:50,M1,979
DAC3-4,dacite,09/06/2021,14:50:33,M1,955
DAC3-3,dacite,09/06/2021,14:46:07,M1,967
DAC3-2,dacite,09/06/2021,14:40:31,M1,940
DAC3-1,dacite,09/06/2021,14:37:10,M1,971
QTZ3-6,quartzite,09/06/2021,14:27:34,M2,901
QTZ3-5,quartzite,09/06/2021,14:22:10,M2,872
QTZ3-4,quartzite,09/06/2021,14:18:29,M2,862
QTZ3-3,quartzite,09/06/2021,14:15:35,M2,810
QTZ3-2,quartzite,09/06/2021,14:12:22,M2,918
QTZ3-1,quartzite,09/06/2021,14:05:18,M2,890
OBS4-6,obsidian,09/06/2021,13:59:22,M2,940
OBS4-5,obsidian,09/06/2021,13:51:50,M2,960
OBS4-4,obsidian,09/06/2021,13:48:41,M2,965
OBS4-3,obsidian,09/06/2021,13:43:07,M2,949
OBS4-2,obsidian,09/06/2021,13:38:59,M2,929
OBS4-1,obsidian,09/06/2021,13:33:40,M2,959
FLT10-6,flint,09/06/2021,12:22:13,M2,950
FLT10-5,flint,09/06/2021,12:18:19,M2,956
FLT10-4,flint,09/06/2021,12:12:51,M2,968
FLT10-3,flint,09/06/2021,12:06:44,M2,955
FLT10-2,flint,09/06/2021,12:00:33,M2,972
DAC3-7,dacite,09/06/2021,15:03:51,M2,973
DAC3-5,dacite,09/06/2021,14:55:50,M2,964
DAC3-4,dacite,09/06/2021,14:50:33,M2,961
DAC3-3,dacite,09/06/2021,14:46:07,M2,970
DAC3-2,dacite,09/06/2021,14:40:31,M2,938
DAC3-1,dacite,09/06/2021,14:37:10,M2,956
QTZ3-6,quartzite,09/06/2021,14:27:34,M3,913
QTZ3-5,quartzite,09/06/2021,14:22:10,M3,850
QTZ3-4,quartzite,09/06/2021,14:18:29,M3,910
QTZ3-3,quartzite,09/06/2021,14:15:35,M3,843
QTZ3-2,quartzite,09/06/2021,14:12:22,M3,929
QTZ3-1,quartzite,09/06/2021,14:05:18,M3,895
OBS4-6,obsidian,09/06/2021,13:59:22,M3,959
OBS4-5,obsidian,09/06/2021,13:51:50,M3,953
OBS4-4,obsidian,09/06/2021,13:48:41,M3,970
OBS4-3,obsidian,09/06/2021,13:43:07,M3,958
OBS4-2,obsidian,09/06/2021,13:38:59,M3,931
OBS4-1,obsidian,09/06/2021,13:33:40,M3,957
FLT10-6,flint,09/06/2021,12:22:13,M3,949
FLT10-5,flint,09/06/2021,12:18:19,M3,900
FLT10-4,flint,09/06/2021,12:12:51,M3,960
FLT10-3,flint,09/06/2021,12:06:44,M3,965
FLT10-2,flint,09/06/2021,12:00:33,M3,964
DAC3-7,dacite,09/06/2021,15:03:51,M3,975
DAC3-5,dacite,09/06/2021,14:55:50,M3,965
DAC3-4,dacite,09/06/2021,14:50:33,M3,956
DAC3-3,dacite,09/06/2021,14:46:07,M3,953
DAC3-2,dacite,09/06/2021,14:40:31,M3,919
DAC3-1,dacite,09/06/2021,14:37:10,M3,948
QTZ3-6,quartzite,09/06/2021,14:27:34,M4,939
QTZ3-5,quartzite,09/06/2021,14:22:10,M4,891
QTZ3-4,quartzite,09/06/2021,14:18:29,M4,810
QTZ3-3,quartzite,09/06/2021,14:15:35,M4,735
QTZ3-2,quartzite,09/06/2021,14:12:22,M4,889
QTZ3-1,quartzite,09/06/2021,14:05:18,M4,855
OBS4-6,obsidian,09/06/2021,13:59:22,M4,957
OBS4-5,obsidian,09/06/2021,13:51:50,M4,964
OBS4-4,obsidian,09/06/2021,13:48:41,M4,969
OBS4-3,obsidian,09/06/2021,13:43:07,M4,958
OBS4-2,obsidian,09/06/2021,13:38:59,M4,931
OBS4-1,obsidian,09/06/2021,13:33:40,M4,943
FLT10-6,flint,09/06/2021,12:22:13,M4,904
FLT10-5,flint,09/06/2021,12:18:19,M4,922
FLT10-4,flint,09/06/2021,12:12:51,M4,936
FLT10-3,flint,09/06/2021,12:06:44,M4,961
FLT10-2,flint,09/06/2021,12:00:33,M4,959
DAC3-7,dacite,09/06/2021,15:03:51,M4,969
DAC3-5,dacite,09/06/2021,14:55:50,M4,953
DAC3-4,dacite,09/06/2021,14:50:33,M4,972
DAC3-3,dacite,09/06/2021,14:46:07,M4,964
DAC3-2,dacite,09/06/2021,14:40:31,M4,962
DAC3-1,dacite,09/06/2021,14:37:10,M4,968
QTZ3-6,quartzite,09/06/2021,14:27:34,M5,936
QTZ3-5,quartzite,09/06/2021,14:22:10,M5,929
QTZ3-4,quartzite,09/06/2021,14:18:29,M5,891
QTZ3-3,quartzite,09/06/2021,14:15:35,M5,838
QTZ3-2,quartzite,09/06/2021,14:12:22,M5,919
QTZ3-1,quartzite,09/06/2021,14:05:18,M5,899
OBS4-6,obsidian,09/06/2021,13:59:22,M5,948
OBS4-5,obsidian,09/06/2021,13:51:50,M5,967
OBS4-4,obsidian,09/06/2021,13:48:41,M5,969
OBS4-3,obsidian,09/06/2021,13:43:07,M5,954
OBS4-2,obsidian,09/06/2021,13:38:59,M5,944
OBS4-1,obsidian,09/06/2021,13:33:40,M5,904
FLT10-6,flint,09/06/2021,12:22:13,M5,920
FLT10-5,flint,09/06/2021,12:18:19,M5,914
FLT10-4,flint,09/06/2021,12:12:51,M5,948
FLT10-3,flint,09/06/2021,12:06:44,M5,964
FLT10-2,flint,09/06/2021,12:00:33,M5,965
DAC3-7,dacite,09/06/2021,15:03:51,M5,945
DAC3-5,dacite,09/06/2021,14:55:50,M5,961
DAC3-4,dacite,09/06/2021,14:50:33,M5,970
DAC3-3,dacite,09/06/2021,14:46:07,M5,963
DAC3-2,dacite,09/06/2021,14:40:31,M5,946
DAC3-1,dacite,09/06/2021,14:37:10,M5,957
QTZ3-6,quartzite,09/06/2021,14:27:34,M6,903
